id,name,building_id,phones,activities
1,ТехноМаркет,1,"+74951112233;+74951112234",1;5;9
2,Кафе "У Парка",1,"+74952223344;+74952223345",2;12
3,Медицинский центр "Здоровье",2,"+74953334455;+74953334456",3;13
4,IT Solutions,2,"+74954445566;+74954445567",4;8;14
5,Электроника и К,3,"+74955556677;+74955556678",1;5;15
6,Ресторан "Панорама",3,"+74956667788;+74956667789",2;6
7,Аптека 36.6,4,"+74957778899;+74957778890",3;7
8,Софт-Девелопмент,4,"+74958889900;+74958889901",4;8
9,МобиШоп,5,"+74959990011;+74959990012",1;5;9
10,Фастфуд "Экспресс",5,"+74950001122;+74950001123",2;10
11,Продукты 24/7,6,"+74951113344;+74951113345",1;11
12,Кофейня "Утро",6,"+74952224455;+74952224456",2;12
13,Клиника "Добрый доктор",7,"+74953335566;+74953335567",3;13
14,ИТ-Консультант,7,"+74954446677;+74954446678",4;14
15,Техно-Сервис,8,"+74955557788;+74955557789",1;5;15
16,Ресторан "Веранда",8,"+74956668899;+74956668890",2;6
17,Аптека "Здоровье+",9,"+74957779900;+74957779901",3;7
18,Разработка.Про,9,"+74958880011;+74958880012",4;8
19,Смартфон-Маркет,10,"+74959991122;+74959991123",1;5;9
20,Бургер-Хаус,10,"+74950002233;+74950002234",2;10
21,Цифровой Мир,1,"+74951112244;+74951112245",1;5;9
22,Суши-бар "Сакура",2,"+74952223355;+74952223356",2;12
23,Стоматология "Улыбка",3,"+74953334466;+74953334467",3;13
24,Web Studio,4,"+74954445577;+74954445578",4;8;14
25,Гаджет-Маркет,5,"+74955556688;+74955556689",1;5;15
26,Пиццерия "Италия",6,"+74956667799;+74956667800",2;6
27,Оптика "Взгляд",7,"+74957778800;+74957778801",3;7
28,Digital Agency,8,"+74958889911;+74958889912",4;8
29,Электроника-Сервис,9,"+74959990022;+74959990023",1;5;9
30,Столовая "Домашняя",10,"+74950001133;+74950001134",2;10
31,Компьютерный магазин,11,"+74951113355;+74951113356",1;5;15
32,Чайная "Восток",11,"+74952224466;+74952224467",2;12
33,Медпункт "Айболит",12,"+74953335577;+74953335578",3;13
34,Software House,12,"+74954446688;+74954446689",4;8;14
35,Мир Связи,13,"+74955557799;+74955557800",1;5;9
36,Кафе "Прага",13,"+74956668800;+74956668801",2;12
37,Клиника "Вита",14,"+74957779911;+74957779912",3;13
38,Tech Support,14,"+74958880022;+74958880023",4;8
39,Техно-Центр,15,"+74959991133;+74959991134",1;5;15
40,Ресторан "Метрополь",15,"+74950002244;+74950002245",2;6
41,Аптека "Первая",16,"+74951114466;+74951114467",3;7
42,Code Factory,16,"+74952225577;+74952225578",4;8
43,Смарт-Шоп,17,"+74953336688;+74953336689",1;5;9
44,Бистро "Экспресс",17,"+74954447799;+74954447800",2;10
45,Медцентр "Забота",18,"+74955558800;+74955558801",3;13
46,DevOps Labs,18,"+74956669911;+74956669912",4;8;14
47,Электро-Мир,19,"+74957770022;+74957770023",1;5;15
48,Кафе "Венеция",19,"+74958881133;+74958881134",2;12
49,Поликлиника №1,20,"+74959992244;+74959992245",3;13
50,Data Systems,20,"+74950003355;+74950003356",4;8 
